ID,Reserved,English,Russian,German,French,Polish,Czech,Turkish,Spanish (Spain),Spanish (Latin America),Portuguese (Brazil),Korean,Japanese
SHIP_MODULE_SUBLIGHT_DRIVE_DESCRIPTION,,"The Sublight Drive allows a ship to travel within a solar system. However, while interstellar travel with this drive is possible, it will be very slow (25% of a base ion drive).",,,,,,,,,,,
SHIP_MODULE_SUBLIGHT_DRIVE_NAME,,Sublight Drive,,,,,,,,,,,

HULL_SUBLIGHT_COLONY_NAME,,Colony Ship (Sublight),,,,,,,,,,,
SHIP_DESIGN_SUBLIGHT_COLONY_SHIP,,Colony Ship (Sublight),,,,,,,,,,,
SHIP_TYPE_COLONY_DESCRIPTION=,,"Colony Ships (Sublight) are ideal for colonizing planets within a system. The lower hull requirements for sublight travel and less expensive engine make building this ship much less costly than colony ships capable of faster-than-light travel. While interstellar travel with this drive is possible, it will be very slow (25% of a base ion drive).  Colony ships are specialized vessels that along with bringing an initial population, upon landing, the ship itself breaks apart i"Colony Ships (Autobuild) are specialized vessels that along with bringing an initial population, upon landing, the ship itself breaks apart into the following modules that function as the fully operational buildings of discovered technologies - Marine Barracks, Automated Factory, Geosynchronic Warehouse, Research Laboratory, Hydroponic Farm, Colony Base, Global DNA Scanner, Holo Simulator & Pollution Processor. Total Day 1 Upkeep if all prefabricated building modules are present is 13 %Credits."

SHIP_DESIGN_COLONY_SHIP,,Colony Ship (Autobuild),,,,,,,,,,,
HULL_COLONY_NAME,,Colony Ship (Autobuild),,,,,,,,,,,
SHIP_TYPE_COLONY_DESCRIPTION=,,"Colony Ships (Autobuild) are specialized vessels that along with bringing an initial population, upon landing, the ship itself breaks apart into the following modules that function as the fully operational buildings of discovered technologies - Marine Barracks, Automated Factory, Geosynchronic Warehouse, Research Laboratory, Hydroponic Farm, Colony Base, Global DNA Scanner, Holo Simulator & Pollution Processor. Total Day 1 Upkeep if all prefabricated building modules are present is 13 %Credits."

HULL_SUBLIGHT_ADVANCED_COLONY_NAME,,Advanced Colony Ship (Sublight),,,,,,,,,,,
SHIP_DESIGN_SUBLIGHT_ADVANCED_COLONY_SHIP,,Advanced Colony Ship (Sublight),,,,,,,,,,,
SHIP_TYPE_SUBLIGHT_ADVANCED_COLONY_DESCRIPTION,,"Advanced Colony Ships (Sublight) are ideal for colonizing planets within a system. The lower hull requirements for sublight travel and less expensive engine make building this ship much less costly than colony ships capable of faster-than-light travel. While interstellar travel with this drive is possible, it will be very slow (25% of a base ion drive).  Colony ships are specialized vessels that along with bringing an initial population, upon landing, the ship itself breaks apart into the following modules that function as the fully operational buildings of discovered technologies - Advanced Data Center, Colonial Revenue Services, Cloning Center, Soil Enrichment, Weather Controller, Neutron Collider, Robominers, Space Port, & Armor Barracks as well as those provided by the base Sublight Colony Ship. Total Day 1 Upkeep if all prefabricated building modules are present is 38 %Credits. .",,,,,,,,,,,

SHIP_DESIGN_ADVANCED_COLONY_SHIP,,Advanced Colony Ship (Autobuild),,,,,,,,,,,
HULL_ADVANCED_COLONY_NAME,,Advanced Colony Ship (Autobuild),,,,,,,,,,,
SHIP_TYPE_ADVANCED_COLONY_DESCRIPTION,,"Advanced Colony Ships (Autobuild) are specialized vessels that along with bringing an initial population, upon landing, including all modules of a standard colony ship, also breaks apart into the following modules that function as the fully operational buildings of discovered technologies - Advance Data Center, Colonial Revenue Services, Cloning Center, Soil Enrichment, Weather Controller, Neutron Collider, Robominers, Space Port, Weather Controller & Armor Barracks. Total Day 1 Upkeep if all prefabricated building modules are present is 38 %Credits."

HULL_SUBLIGHT_HYPER_ADVANCED_COLONY_NAME,,Hyper Advanced Colony Ship (Sublight),,,,,,,,,,,
SHIP_DESIGN_SUBLIGHT_HYPER_ADVANCED_COLONY_SHIP,,Hyper Advanced Colony Ship (Sublight),,,,,,,,,,,
SHIP_TYPE_SUBLIGHT_HYPER_ADVANCED_COLONY_DESCRIPTION,,"Hyper Advanced Colony Ships (Sublight) are ideal for colonizing planets within a system. The lower hull requirements for sublight travel and less expensive engine make building this ship much less costly than colony ships capable of faster-than-light travel. While interstellar travel with this drive is possible, it will be very slow (25% of a base ion drive).  Colony ships are specialized vessels that along with bringing an initial population, upon landing, including all modules of an advanced colony ship, the ship itself breaks apart into the following modules that function as the fully operational buildings of discovered technologies - Autolab, Deep Core Mine, Core Waste Dump. Total Day 1 Upkeep if all prefabricated building modules are present is 68 %Credits.",,,,,,,,,,,

HULL_HYPER_ADVANCED_COLONY_NAME,,Hyper Advanced Colony Ship (Autobuild),,,,,,,,,,,
SHIP_DESIGN_HYPER_ADVANCED_COLONY_SHIP,,Hyper Advanced Colony Ship (Autobuild),,,,,,,,,,,
SHIP_TYPE_HYPER_ADVANCED_COLONY_DESCRIPTION,,"Hyper Advanced Colony Ships (Autobuild) are specialized vessels that along with bringing an initial population, upon landing, including all modules of an Advanced Colony Ship, the ship itself breaks apart into the following modules that function as the fully operational buildings of discovered technologies - Autolab, Deep Core Mine, Core Waste Dump. Total Day 1 Upkeep if all prefabricated building modules are present is 68 %Credits.",,,,,,,,,,,
